label,content,synonym_aug,back_translation,random_delete,insert_aug
1,"CORONADO, Calif. -- The US military said it has begun a criminal investigation into photos that appear to show Navy SEALs in Iraq sitting on hooded and handcuffed prisoners and photos of what appear to be bloodied prisoners, one with a gun to his head.","CORONADO, Calif. - - The US military said it has begun a criminal probe into photos that appear to show Navy seal in Al iraq sitting on hood and handcuffed prisoners and photos of what appear to be bloodied prisoners, unitary with a artillery to his straits.","CORONADO, Calif. - The U.S. military has launched a criminal investigation into photos showing Navy ຕ SEALs in Iraq seated among a group of hooded, handcuffed detainees, who were apparently covered in blood and one with a weapon over his head.","CORONADO, Calif. - - The military said it has begun a criminal investigation into photos that appear to Navy SEALs in sitting on hooded and handcuffed prisoners photos of what appear to be bloodied prisoners, with a gun to his head.","coronado, cal calif. - - the us military has said it has begun a criminal investigation into photos that appear likely to show navy seals in iraq repeatedly sitting on hooded and often handcuffed prisoners detainees and subsequently photos of what often appear to be bloodied prisoners, one with a gun used to take his head."
1,NEW YORK - Stocks enjoyed a late-day rally Wednesday to finish higher despite a new record price for oil and gloomy third-quarter outlooks from several companies. Volume was relatively light as investors awaited the government's jobs creation report at the end of the week...,NEW YORK - Stocks enjoyed a late - day rally Wednesday to finish higher despite a fresh phonograph record damage for oil and dispirited third - quarter outlooks from several companies. Volume was relatively light as investors awaited the government ' second jobs institution report at the end of the hebdomad. ..,"NEW YORK -- Despite a new leuten oil price record and a deceptive outlook from several companies for the third quarter, stocks rallied higher late on Wednesday, volume remaining fairly contained as investors awaited the government's employment report due at the end of the year.",NEW YORK - Stocks enjoyed a late - day rally Wednesday finish higher despite a new record for oil gloomy third - quarter from several companies. Volume was relatively light as investors awaited government ' s jobs creation report at the end of the. ..,several new york - led stocks enjoyed a late - day media rally wednesday long to finish higher despite a new record price for oil and gloomy third - month quarter outlooks from several companies. volume was otherwise relatively light as investors all awaited the federal government'and s jobs the creation report at the end of the week...
1,"BAGHDAD, Iraq -- A car bomb and a mass shooting killed 59 people in Iraq on Tuesday, many of them policemen and unemployed young men seeking to join the country #39;s beleaguered security forces.","BAGHDAD, Iraq - - A cable car bomb and a hatful shooting killed 59 people in Irak on Tuesday, many of them policeman and unemployed young men seeking to join the country # 39; southward bug security force out.","BAGHDAD, Iraq - A car bomb and a mass shooting killed 59 people in Iraq on Tuesday, many of them police officers and young unemployed men who had sought to join the besieged military.","BAGHDAD, Iraq - - A car and a mass shooting killed 59 people in Iraq Tuesday, many of policemen unemployed young men seeking to the country # 39; s beleaguered security forces.","baghdad, iraq - - 2004 a car bomb and a mass home shooting both killed 59 people in northern iraq on christmas tuesday, many of those them policemen and unemployed young civilian men originally seeking employment to join the new country # 39 ; s beleaguered security forces."
1,"Chinese parents pick up their children at the gate of the Korean School in Beijing Friday Oct. 22, 2004. As many as 29 North Korean asylum seekers entered the school earlier Friday, and told school authorities ","Chinese parents pick up their children at the gate of the Korean School in Beijing Friday October. xxii, 2004. As many as 29 North Korean insane asylum seekers record the school earlier Fri, and told school authority","Chinese parents picked up their children from the Korean school in Peking on October 22, 2004. 29 North Korean asylum seekers came to the school on Friday night and informed the school authorities","Parents pick up their children at the gate of the Korean School in Beijing Friday Oct. 22, 2004. As many as 29 North Korean asylum seekers entered the school Friday, and school","chinese parents pick up their kidnapped children while at the front gate of the korean school school in beijing friday oct. 22, 2004. actually as many as 29 chinese north south korean asylum seekers entered the the school proper earlier friday, and told school control authorities"
1,NEW YORK: Indias Prime Minister Manmohan Singh said the complicated problems between Pakistan and India would take time for resolution.,NEW house of york: India Heyday Minister Manmohan Singh say the complicated problems between Pakistan and India would take time for resolution.,"NEW YORK - India's prime minister, Manmohan Singh, has said the complicated problems between Pakistan and India will take time to resolve.",NEW YORK: Indias Prime Minister Manmohan Singh said the problems between Pakistan and India time for resolution.,new new york : indias prime peace minister manmohan singh said the complicated political problems developed between east pakistan and india it would likely take much time for resolution.
1,"Imposing sanctions on the government of Sudan in a bid to resolve the crisis in the Darfur region of the country could prove counter productive, a Foreign Office minister warned today.","Imposing sanctions on the government of Sudan in a bid to conclude the crisis in the Darfur area of the land could prove counter generative, a Foreign Office staff curate warned today.","The imposition of sanctions on the Sudanese government as it seeks to resolve the crisis in the Darfur region could prove counterproductive, a Foreign Secretary warned today.","Imposing sanctions on government of Sudan in a bid to resolve crisis in the Darfur region of the country could productive, a Foreign Office minister warned today.","while imposing international sanctions mainly on the government of sudan engaged in in a bid also to resolve the crisis arising in the darfur region of the country could prove counter productive, however a foreign office foreign minister warned journalist today."
1,"ABOARD AIR FORCE ONE - President Bush accused John Kerry on Monday of employing ""shameless scare tactics"" on Social Security and the military draft just before voters go to the polls. In an interview with The Associated Press, Bush also said he'd be disappointed if the Iraqi people chose an Islamic fundamentalist government in free elections, ""but democracy is democracy.""  ""If that's what the people choose, that's what the people choose,"" the president said, two weeks before facing his own re-election...","ABOARD AIR FORCE single - United states president Bush accused John Kerry on Monday of employing "" shameless scare tactics "" on Social Security and the military draft just before voters go to the polls. In an interview with The Associated Press, Bush also said he ' five hundred be disappointed if the Iraqi people chose an Islamic fundamentalist government in free elections, "" but democracy is majority rule. "" "" If that ' s what the hoi polloi choose, that ' s what the people choose, "" the president said, two weeks before facing his own re - election. ..","ABOUT AIR FORCE ONE - President Bush accused John Kerry Monday of using ""shamelessly scare tactics"" on Social Security and the military just before voters go to the polls, and in an interview with The Associated Press, Bush also said he was disappointed if the Iraqi people chose an Islamic fundamentalist government in free elections, ""but democracy is democracy."" ""If the people choose something like this, it's What the people choose,"" the president said two weeks before his own reelection...","ABOARD FORCE ONE - President Bush John Kerry on Monday of employing "" shameless scare tactics "" on Social Security the draft just before voters go to polls. In an interview with The Associated Press, Bush also said he ' d be disappointed if the Iraqi people chose Islamic fundamentalist government in free elections, "" but democracy is democracy. "" "" If that ' s what the people choose, ' s what the people, "" president said, two weeks before his own re - election. ..","victory aboard air force academy one - president bush accused john kerry on monday of employing "" shameless scare tactics "" on social security and threatening the military draft just before democratic voters go to the polls. in an interview column with the chicago associated press, bush reportedly also said he'd be disappointed if the iraqi arab people chose an islamic fundamentalist government in free elections, "" but democracy is democracy. "" "" well if that's what the people choose, that's what the people choose, "" the president said, two weeks before facing his own re - recall election..."
1,AFP - Democratic Republic of Congo (DRC) Vice President Azarias Ruberwa accused neighbouring Rwanda of deploying troops in the eastern DRC to flush out Hutu rebels and demanded their withdrawal.,AFP - Democratic Republic of Congo (DRC) Vice President Azarias Ruberwa accused neighbouring Rwanda of deploying troops in the eastern DRC to flush taboo Hutu rebel and exact their withdrawal method.,"AFP - Democratic Republic of Congo Vice President Azaria Ruberwa accused neighboring Rwanda of sending forces into eastern Democratic Republic of Congo to drive Hutu rebels out of the country, calling for them to withdraw.",- Democratic Republic of Congo (DRC) Vice President Azarias Ruberwa neighbouring Rwanda of deploying in the eastern DRC to flush out rebels and demanded their withdrawal.,the afp - democratic republic federation of congo ( drc ) vice high president azarias ruberwa accused neighbouring militant rwanda military of deploying troops while in specifically the eastern drc to helped flush us out hutu armed rebels and demanded their withdrawal.
1,"The death toll from flooding and landslides in mountainous southwestern China rose to 177 on Thursday, as authorities warned beleaguered residents to brace for fresh storms.","The end cost from flooding and landslides in mountainous southwestern China climb to 177 on Thursday, as authorities warned beleaguered residents to brace for overbold storms.",The death toll from floods and landslides in mountainous southwest China rose to 17 on Thursday as authorities warned beleaguered residents of new storms.,"Death from flooding landslides in mountainous southwestern China rose to 177 on Thursday, as authorities warned beleaguered residents to brace for fresh storms.","the death toll from the flooding and severe landslides in mountainous southwestern china rose rapidly to over 177 on late thursday, just as authorities warned previously beleaguered residents to come brace immediately for further fresh storms."
1,A Bahrain court sentences a human rights activist to one year in jail for inciting hatred against the state.,A Bahrain court sentences a human right activist to unmatchable class in gaol for inciting hatred against the res publica.,A Bahraini court sentences a human rights activist to one year in prison for inciting hatred against the state.,A Bahrain court a human rights activist to one year in jail for inciting hatred the state.,while a second bahrain court sentences three a human rights activist to one ten year terms in jail terms for allegedly inciting hatred against the state.
